id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET1,FACE_DETECT,1,0,233,1, 0, 0, 247,Chrome_92_Linux,MEDIUM
1,DATASET1,FACE_DETECT,1,0,223,1, 0, 0, 236,Chrome_92_Linux,MEDIUM
2,DATASET1,FACE_DETECT,1,0,221,1, 0, 0, 235,Chrome_92_Linux,MEDIUM
3,DATASET1,FACE_DETECT,1,0,222,1, 0, 0, 234,Chrome_92_Linux,MEDIUM
4,DATASET1,FACE_DETECT,0,0,221,1, 0, 0, 234,Chrome_92_Linux,MEDIUM
5,DATASET1,FACE_DETECT,1,0,222,1, 0, 0, 235,Chrome_92_Linux,MEDIUM
6,DATASET1,FACE_DETECT,1,0,218,1, 0, 0, 232,Chrome_92_Linux,MEDIUM
7,DATASET1,FACE_DETECT,0,0,218,1, 0, 0, 231,Chrome_92_Linux,MEDIUM
8,DATASET1,FACE_DETECT,1,0,251,1, 0, 0, 265,Chrome_92_Linux,MEDIUM
9,DATASET1,FACE_DETECT,0,0,312,1, 0, 0, 328,Chrome_92_Linux,MEDIUM
10,DATASET1,FACE_DETECT,2,0,255,1, 0, 0, 269,Chrome_92_Linux,MEDIUM
11,DATASET1,FACE_DETECT,0,0,313,1, 0, 0, 327,Chrome_92_Linux,MEDIUM
12,DATASET1,FACE_DETECT,1,0,257,0, 0, 0, 269,Chrome_92_Linux,MEDIUM
13,DATASET1,FACE_DETECT,0,0,316,1, 0, 0, 328,Chrome_92_Linux,MEDIUM
14,DATASET1,FACE_DETECT,0,0,225,1, 0, 0, 237,Chrome_92_Linux,MEDIUM
15,DATASET1,FACE_DETECT,2,0,256,0, 0, 0, 270,Chrome_92_Linux,MEDIUM
16,DATASET1,FACE_DETECT,1,0,260,1, 0, 0, 272,Chrome_92_Linux,MEDIUM
17,DATASET1,FACE_DETECT,1,0,250,1, 0, 0, 263,Chrome_92_Linux,MEDIUM
18,DATASET1,FACE_DETECT,0,0,188,1, 0, 0, 200,Chrome_92_Linux,MEDIUM
19,DATASET1,FACE_DETECT,0,0,196,1, 0, 0, 208,Chrome_92_Linux,MEDIUM
20,DATASET1,FACE_DETECT,0,0,314,1, 0, 0, 326,Chrome_92_Linux,MEDIUM
21,DATASET1,FACE_DETECT,0,0,310,1, 0, 0, 323,Chrome_92_Linux,MEDIUM
22,DATASET1,FACE_DETECT,0,0,258,1, 0, 0, 271,Chrome_92_Linux,MEDIUM
23,DATASET1,FACE_DETECT,1,0,265,1, 0, 0, 278,Chrome_92_Linux,MEDIUM
24,DATASET1,FACE_DETECT,0,0,309,1, 0, 0, 322,Chrome_92_Linux,MEDIUM
25,DATASET1,FACE_DETECT,1,0,324,1, 0, 0, 337,Chrome_92_Linux,MEDIUM
26,DATASET1,FACE_DETECT,0,0,306,0, 0, 0, 318,Chrome_92_Linux,MEDIUM
27,DATASET1,FACE_DETECT,0,0,267,1, 0, 0, 279,Chrome_92_Linux,MEDIUM
28,DATASET1,FACE_DETECT,1,0,221,1, 0, 0, 233,Chrome_92_Linux,MEDIUM
29,DATASET1,FACE_DETECT,0,0,306,1, 0, 0, 319,Chrome_92_Linux,MEDIUM
30,DATASET1,FACE_DETECT,0,0,298,1, 0, 0, 318,Chrome_92_Linux,MEDIUM
31,DATASET1,FACE_DETECT,0,0,204,0, 0, 0, 217,Chrome_92_Linux,MEDIUM
32,DATASET1,FACE_DETECT,0,0,224,1, 0, 0, 236,Chrome_92_Linux,MEDIUM
33,DATASET1,FACE_DETECT,0,0,297,1, 0, 0, 304,Chrome_92_Linux,MEDIUM
34,DATASET1,FACE_DETECT,0,0,297,1, 0, 0, 309,Chrome_92_Linux,MEDIUM
35,DATASET1,FACE_DETECT,0,0,214,1, 0, 0, 226,Chrome_92_Linux,MEDIUM
36,DATASET1,FACE_DETECT,1,0,211,1, 0, 0, 224,Chrome_92_Linux,MEDIUM
37,DATASET1,FACE_DETECT,2,0,234,1, 0, 0, 246,Chrome_92_Linux,MEDIUM
38,DATASET1,FACE_DETECT,1,0,222,1, 0, 0, 234,Chrome_92_Linux,MEDIUM
39,DATASET1,FACE_DETECT,0,0,221,1, 0, 0, 233,Chrome_92_Linux,MEDIUM
40,DATASET1,FACE_DETECT,0,0,296,0, 0, 0, 309,Chrome_92_Linux,MEDIUM
41,DATASET1,FACE_DETECT,2,0,271,1, 0, 0, 283,Chrome_92_Linux,MEDIUM
42,DATASET1,FACE_DETECT,1,0,185,1, 0, 0, 197,Chrome_92_Linux,MEDIUM
43,DATASET1,FACE_DETECT,1,0,275,1, 0, 0, 288,Chrome_92_Linux,MEDIUM
44,DATASET1,FACE_DETECT,1,0,183,1, 0, 0, 194,Chrome_92_Linux,MEDIUM
45,DATASET1,FACE_DETECT,2,0,274,1, 0, 0, 286,Chrome_92_Linux,MEDIUM
46,DATASET1,FACE_DETECT,1,0,191,1, 0, 0, 204,Chrome_92_Linux,MEDIUM
47,DATASET1,FACE_DETECT,1,0,275,1, 0, 0, 287,Chrome_92_Linux,MEDIUM
48,DATASET1,FACE_DETECT,1,0,203,1, 0, 0, 215,Chrome_92_Linux,MEDIUM
49,DATASET1,FACE_DETECT,1,0,187,1, 0, 0, 199,Chrome_92_Linux,MEDIUM
50,DATASET1,FACE_DETECT,0,0,273,1, 0, 0, 285,Chrome_92_Linux,MEDIUM
