id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET1,FACE_DETECT,0,0,328,2, 0, 0, 332,Firefox_91_UNIX,MEDIUM
1,DATASET1,FACE_DETECT,0,0,326,2, 0, 0, 329,Firefox_91_UNIX,MEDIUM
2,DATASET1,FACE_DETECT,0,0,234,2, 0, 0, 237,Firefox_91_UNIX,MEDIUM
3,DATASET1,FACE_DETECT,0,0,197,1, 0, 0, 199,Firefox_91_UNIX,MEDIUM
4,DATASET1,FACE_DETECT,0,0,205,1, 0, 0, 208,Firefox_91_UNIX,MEDIUM
5,DATASET1,FACE_DETECT,1,0,237,1, 0, 0, 240,Firefox_91_UNIX,MEDIUM
6,DATASET1,FACE_DETECT,1,0,193,1, 0, 0, 196,Firefox_91_UNIX,MEDIUM
7,DATASET1,FACE_DETECT,1,0,191,1, 0, 0, 193,Firefox_91_UNIX,MEDIUM
8,DATASET1,FACE_DETECT,1,0,199,1, 0, 0, 202,Firefox_91_UNIX,MEDIUM
9,DATASET1,FACE_DETECT,1,0,211,1, 0, 0, 213,Firefox_91_UNIX,MEDIUM
10,DATASET1,FACE_DETECT,1,0,195,1, 0, 0, 198,Firefox_91_UNIX,MEDIUM
11,DATASET1,FACE_DETECT,0,0,229,1, 0, 0, 237,Firefox_91_UNIX,MEDIUM
12,DATASET1,FACE_DETECT,0,0,328,2, 0, 0, 336,Firefox_91_UNIX,MEDIUM
13,DATASET1,FACE_DETECT,1,0,197,1, 0, 0, 205,Firefox_91_UNIX,MEDIUM
14,DATASET1,FACE_DETECT,1,0,191,1, 0, 0, 193,Firefox_91_UNIX,MEDIUM
15,DATASET1,FACE_DETECT,1,0,201,2, 0, 0, 210,Firefox_91_UNIX,MEDIUM
16,DATASET1,FACE_DETECT,2,0,196,2, 0, 0, 198,Firefox_91_UNIX,MEDIUM
17,DATASET1,FACE_DETECT,2,0,201,1, 0, 0, 204,Firefox_91_UNIX,MEDIUM
18,DATASET1,FACE_DETECT,1,0,201,2, 0, 0, 209,Firefox_91_UNIX,MEDIUM
19,DATASET1,FACE_DETECT,1,0,206,1, 1, 0, 215,Firefox_91_UNIX,MEDIUM
20,DATASET1,FACE_DETECT,1,0,206,0, 0, 0, 208,Firefox_91_UNIX,MEDIUM
21,DATASET1,FACE_DETECT,1,0,189,1, 0, 0, 192,Firefox_91_UNIX,MEDIUM
22,DATASET1,FACE_DETECT,1,0,197,2, 0, 0, 200,Firefox_91_UNIX,MEDIUM
23,DATASET1,FACE_DETECT,0,0,278,1, 0, 0, 286,Firefox_91_UNIX,MEDIUM
24,DATASET1,FACE_DETECT,1,0,229,1, 0, 0, 236,Firefox_91_UNIX,MEDIUM
25,DATASET1,FACE_DETECT,1,0,205,2, 0, 0, 208,Firefox_91_UNIX,MEDIUM
26,DATASET1,FACE_DETECT,0,0,213,1, 0, 0, 221,Firefox_91_UNIX,MEDIUM
27,DATASET1,FACE_DETECT,1,0,204,1, 0, 0, 207,Firefox_91_UNIX,MEDIUM
28,DATASET1,FACE_DETECT,1,0,206,1, 0, 0, 209,Firefox_91_UNIX,MEDIUM
29,DATASET1,FACE_DETECT,1,0,198,0, 0, 0, 200,Firefox_91_UNIX,MEDIUM
30,DATASET1,FACE_DETECT,0,0,233,1, 0, 0, 241,Firefox_91_UNIX,MEDIUM
31,DATASET1,FACE_DETECT,0,0,223,2, 0, 0, 232,Firefox_91_UNIX,MEDIUM
32,DATASET1,FACE_DETECT,1,0,220,1, 0, 0, 227,Firefox_91_UNIX,MEDIUM
33,DATASET1,FACE_DETECT,1,0,242,2, 0, 0, 251,Firefox_91_UNIX,MEDIUM
34,DATASET1,FACE_DETECT,1,0,230,2, 0, 0, 239,Firefox_91_UNIX,MEDIUM
35,DATASET1,FACE_DETECT,0,0,229,2, 0, 0, 241,Firefox_91_UNIX,MEDIUM
36,DATASET1,FACE_DETECT,2,0,281,1, 0, 0, 290,Firefox_91_UNIX,MEDIUM
37,DATASET1,FACE_DETECT,1,0,284,2, 0, 0, 293,Firefox_91_UNIX,MEDIUM
38,DATASET1,FACE_DETECT,2,0,283,1, 0, 0, 292,Firefox_91_UNIX,MEDIUM
39,DATASET1,FACE_DETECT,1,0,286,1, 0, 0, 294,Firefox_91_UNIX,MEDIUM
40,DATASET1,FACE_DETECT,0,0,282,2, 0, 0, 290,Firefox_91_UNIX,MEDIUM
41,DATASET1,FACE_DETECT,1,0,283,1, 0, 0, 292,Firefox_91_UNIX,MEDIUM
42,DATASET1,FACE_DETECT,2,0,282,1, 0, 0, 291,Firefox_91_UNIX,MEDIUM
43,DATASET1,FACE_DETECT,1,0,279,2, 0, 0, 287,Firefox_91_UNIX,MEDIUM
44,DATASET1,FACE_DETECT,1,0,233,2, 0, 0, 242,Firefox_91_UNIX,MEDIUM
45,DATASET1,FACE_DETECT,1,0,229,2, 0, 0, 237,Firefox_91_UNIX,MEDIUM
46,DATASET1,FACE_DETECT,1,0,283,1, 0, 0, 291,Firefox_91_UNIX,MEDIUM
47,DATASET1,FACE_DETECT,1,0,281,2, 0, 0, 290,Firefox_91_UNIX,MEDIUM
48,DATASET1,FACE_DETECT,1,0,282,1, 0, 0, 290,Firefox_91_UNIX,MEDIUM
49,DATASET1,FACE_DETECT,1,0,282,1, 0, 0, 289,Firefox_91_UNIX,MEDIUM
50,DATASET1,FACE_DETECT,1,0,290,1, 0, 0, 298,Firefox_91_UNIX,MEDIUM
51,DATASET1,FACE_DETECT,1,0,287,1, 0, 0, 295,Firefox_91_UNIX,MEDIUM
52,DATASET1,FACE_DETECT,0,0,284,1, 0, 0, 292,Firefox_91_UNIX,MEDIUM
53,DATASET1,FACE_DETECT,0,0,285,2, 0, 0, 294,Firefox_91_UNIX,MEDIUM
54,DATASET1,FACE_DETECT,1,0,288,1, 0, 0, 295,Firefox_91_UNIX,MEDIUM
55,DATASET1,FACE_DETECT,0,0,286,1, 0, 0, 293,Firefox_91_UNIX,MEDIUM
56,DATASET1,FACE_DETECT,1,0,232,2, 0, 0, 242,Firefox_91_UNIX,MEDIUM
57,DATASET1,FACE_DETECT,0,0,230,1, 0, 0, 238,Firefox_91_UNIX,MEDIUM
58,DATASET1,FACE_DETECT,1,0,286,2, 0, 0, 294,Firefox_91_UNIX,MEDIUM
59,DATASET1,FACE_DETECT,1,0,231,1, 0, 0, 239,Firefox_91_UNIX,MEDIUM
60,DATASET1,FACE_DETECT,1,0,227,1, 0, 0, 236,Firefox_91_UNIX,MEDIUM
61,DATASET1,FACE_DETECT,0,0,285,1, 0, 0, 294,Firefox_91_UNIX,MEDIUM
62,DATASET1,FACE_DETECT,0,0,325,1, 0, 0, 333,Firefox_91_UNIX,MEDIUM
63,DATASET1,FACE_DETECT,0,0,283,2, 0, 0, 291,Firefox_91_UNIX,MEDIUM
