id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET1,FACE_DETECT,1,0,140,1, 0, 0, 143,LINUX,MEDIUM
1,DATASET1,FACE_DETECT,1,0,50,0, 0, 0, 51,LINUX,MEDIUM
2,DATASET1,FACE_DETECT,1,0,49,0, 0, 0, 50,LINUX,MEDIUM
3,DATASET1,FACE_DETECT,1,0,50,0, 0, 0, 51,LINUX,MEDIUM
4,DATASET1,FACE_DETECT,0,0,49,0, 0, 0, 50,LINUX,MEDIUM
5,DATASET1,FACE_DETECT,1,0,51,0, 0, 0, 51,LINUX,MEDIUM
6,DATASET1,FACE_DETECT,1,0,48,0, 0, 0, 48,LINUX,MEDIUM
7,DATASET1,FACE_DETECT,0,0,49,0, 0, 0, 50,LINUX,MEDIUM
8,DATASET1,FACE_DETECT,1,0,51,0, 0, 0, 52,LINUX,MEDIUM
9,DATASET1,FACE_DETECT,2,0,52,0, 0, 0, 53,LINUX,MEDIUM
10,DATASET1,FACE_DETECT,1,0,51,0, 0, 0, 52,LINUX,MEDIUM
11,DATASET1,FACE_DETECT,1,0,51,0, 0, 0, 52,LINUX,MEDIUM
12,DATASET1,FACE_DETECT,0,0,53,0, 0, 0, 54,LINUX,MEDIUM
13,DATASET1,FACE_DETECT,1,0,55,0, 0, 0, 55,LINUX,MEDIUM
14,DATASET1,FACE_DETECT,2,0,53,0, 0, 0, 54,LINUX,MEDIUM
15,DATASET1,FACE_DETECT,1,0,51,0, 0, 0, 51,LINUX,MEDIUM
16,DATASET1,FACE_DETECT,0,0,66,0, 0, 0, 67,LINUX,MEDIUM
17,DATASET1,FACE_DETECT,0,0,64,0, 0, 0, 64,LINUX,MEDIUM
18,DATASET1,FACE_DETECT,0,0,65,0, 0, 0, 66,LINUX,MEDIUM
19,DATASET1,FACE_DETECT,0,0,66,0, 0, 0, 67,LINUX,MEDIUM
20,DATASET1,FACE_DETECT,0,0,66,0, 0, 0, 67,LINUX,MEDIUM
21,DATASET1,FACE_DETECT,0,0,67,0, 0, 0, 68,LINUX,MEDIUM
22,DATASET1,FACE_DETECT,0,0,67,0, 0, 0, 68,LINUX,MEDIUM
23,DATASET1,FACE_DETECT,0,0,66,0, 0, 0, 66,LINUX,MEDIUM
24,DATASET1,FACE_DETECT,0,0,66,0, 0, 0, 66,LINUX,MEDIUM
25,DATASET1,FACE_DETECT,0,0,64,0, 0, 0, 65,LINUX,MEDIUM
26,DATASET1,FACE_DETECT,0,0,65,0, 0, 0, 66,LINUX,MEDIUM
27,DATASET1,FACE_DETECT,0,0,63,0, 0, 0, 63,LINUX,MEDIUM
28,DATASET1,FACE_DETECT,0,0,64,0, 0, 0, 64,LINUX,MEDIUM
29,DATASET1,FACE_DETECT,0,0,64,0, 0, 0, 64,LINUX,MEDIUM
30,DATASET1,FACE_DETECT,0,0,63,0, 0, 0, 64,LINUX,MEDIUM
31,DATASET1,FACE_DETECT,0,0,45,0, 0, 0, 46,LINUX,MEDIUM
32,DATASET1,FACE_DETECT,0,0,54,0, 0, 0, 54,LINUX,MEDIUM
33,DATASET1,FACE_DETECT,0,0,45,0, 0, 0, 46,LINUX,MEDIUM
34,DATASET1,FACE_DETECT,0,0,37,0, 0, 0, 37,LINUX,MEDIUM
35,DATASET1,FACE_DETECT,0,0,40,0, 0, 0, 41,LINUX,MEDIUM
36,DATASET1,FACE_DETECT,0,0,44,0, 0, 0, 45,LINUX,MEDIUM
37,DATASET1,FACE_DETECT,0,0,47,0, 0, 0, 48,LINUX,MEDIUM
38,DATASET1,FACE_DETECT,0,0,45,0, 0, 0, 46,LINUX,MEDIUM
39,DATASET1,FACE_DETECT,1,0,44,0, 0, 0, 45,LINUX,MEDIUM
40,DATASET1,FACE_DETECT,2,0,45,0, 0, 0, 46,LINUX,MEDIUM
41,DATASET1,FACE_DETECT,1,0,44,0, 0, 0, 44,LINUX,MEDIUM
42,DATASET1,FACE_DETECT,0,0,43,0, 0, 0, 44,LINUX,MEDIUM
43,DATASET1,FACE_DETECT,2,0,56,0, 0, 0, 56,LINUX,MEDIUM
44,DATASET1,FACE_DETECT,2,0,57,0, 0, 0, 58,LINUX,MEDIUM
45,DATASET1,FACE_DETECT,1,0,57,0, 0, 0, 58,LINUX,MEDIUM
46,DATASET1,FACE_DETECT,1,0,58,0, 0, 0, 58,LINUX,MEDIUM
47,DATASET1,FACE_DETECT,0,0,57,0, 0, 0, 57,LINUX,MEDIUM
48,DATASET1,FACE_DETECT,1,0,58,0, 0, 0, 58,LINUX,MEDIUM
49,DATASET1,FACE_DETECT,2,0,56,0, 0, 0, 57,LINUX,MEDIUM
50,DATASET1,FACE_DETECT,1,0,55,0, 0, 0, 55,LINUX,MEDIUM
51,DATASET1,FACE_DETECT,2,0,56,0, 0, 0, 57,LINUX,MEDIUM
52,DATASET1,FACE_DETECT,2,0,55,0, 0, 0, 56,LINUX,MEDIUM
53,DATASET1,FACE_DETECT,1,0,56,0, 0, 0, 57,LINUX,MEDIUM
54,DATASET1,FACE_DETECT,1,0,55,0, 0, 0, 56,LINUX,MEDIUM
55,DATASET1,FACE_DETECT,1,0,40,0, 0, 0, 40,LINUX,MEDIUM
56,DATASET1,FACE_DETECT,1,0,39,0, 0, 0, 40,LINUX,MEDIUM
57,DATASET1,FACE_DETECT,1,0,39,0, 0, 0, 39,LINUX,MEDIUM
58,DATASET1,FACE_DETECT,1,0,44,0, 0, 0, 44,LINUX,MEDIUM
59,DATASET1,FACE_DETECT,1,0,41,0, 0, 0, 42,LINUX,MEDIUM
60,DATASET1,FACE_DETECT,1,0,57,0, 0, 0, 58,LINUX,MEDIUM
61,DATASET1,FACE_DETECT,1,0,56,0, 0, 0, 56,LINUX,MEDIUM
62,DATASET1,FACE_DETECT,0,0,57,0, 0, 0, 58,LINUX,MEDIUM
63,DATASET1,FACE_DETECT,1,0,55,0, 0, 0, 56,LINUX,MEDIUM
64,DATASET1,FACE_DETECT,0,0,56,0, 0, 0, 56,LINUX,MEDIUM
65,DATASET1,FACE_DETECT,0,0,58,0, 0, 0, 58,LINUX,MEDIUM
66,DATASET1,FACE_DETECT,1,0,55,0, 0, 0, 56,LINUX,MEDIUM
67,DATASET1,FACE_DETECT,0,0,56,0, 0, 0, 57,LINUX,MEDIUM
68,DATASET1,FACE_DETECT,0,0,55,0, 0, 0, 56,LINUX,MEDIUM
69,DATASET1,FACE_DETECT,0,0,38,0, 0, 0, 39,LINUX,MEDIUM
70,DATASET1,FACE_DETECT,0,0,39,0, 0, 0, 40,LINUX,MEDIUM
71,DATASET1,FACE_DETECT,0,0,41,0, 0, 0, 42,LINUX,MEDIUM
72,DATASET1,FACE_DETECT,1,0,39,0, 0, 0, 40,LINUX,MEDIUM
73,DATASET1,FACE_DETECT,1,0,40,0, 0, 0, 40,LINUX,MEDIUM
74,DATASET1,FACE_DETECT,2,0,41,0, 0, 0, 42,LINUX,MEDIUM
75,DATASET1,FACE_DETECT,1,0,41,0, 0, 0, 42,LINUX,MEDIUM
76,DATASET1,FACE_DETECT,2,0,42,0, 0, 0, 43,LINUX,MEDIUM
77,DATASET1,FACE_DETECT,1,0,41,0, 0, 0, 42,LINUX,MEDIUM
78,DATASET1,FACE_DETECT,1,0,42,0, 0, 0, 43,LINUX,MEDIUM
79,DATASET1,FACE_DETECT,1,0,41,0, 0, 0, 41,LINUX,MEDIUM
80,DATASET1,FACE_DETECT,1,0,39,0, 0, 0, 40,LINUX,MEDIUM
81,DATASET1,FACE_DETECT,2,0,42,0, 0, 0, 43,LINUX,MEDIUM
