id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET2,FACE_DETECT,0,0,131,0, 0, 0, 140,Chrome_92_Linux,SMALL
1,DATASET2,FACE_DETECT,0,0,131,0, 0, 0, 138,Chrome_92_Linux,SMALL
2,DATASET2,FACE_DETECT,0,0,136,0, 0, 0, 143,Chrome_92_Linux,SMALL
3,DATASET2,FACE_DETECT,0,0,138,0, 0, 0, 144,Chrome_92_Linux,SMALL
4,DATASET2,FACE_DETECT,1,0,134,0, 0, 0, 141,Chrome_92_Linux,SMALL
5,DATASET2,FACE_DETECT,2,0,127,0, 0, 0, 134,Chrome_92_Linux,SMALL
6,DATASET2,FACE_DETECT,0,0,141,0, 0, 0, 148,Chrome_92_Linux,SMALL
7,DATASET2,FACE_DETECT,0,0,139,0, 0, 0, 146,Chrome_92_Linux,SMALL
8,DATASET2,FACE_DETECT,0,0,138,0, 0, 0, 145,Chrome_92_Linux,SMALL
9,DATASET2,FACE_DETECT,0,0,137,0, 0, 0, 144,Chrome_92_Linux,SMALL
10,DATASET2,FACE_DETECT,0,0,134,0, 0, 0, 141,Chrome_92_Linux,SMALL
11,DATASET2,FACE_DETECT,0,0,132,0, 0, 0, 139,Chrome_92_Linux,SMALL
12,DATASET2,FACE_DETECT,0,0,131,0, 0, 0, 138,Chrome_92_Linux,SMALL
13,DATASET2,FACE_DETECT,1,0,132,0, 0, 0, 138,Chrome_92_Linux,SMALL
14,DATASET2,FACE_DETECT,0,0,135,0, 0, 0, 141,Chrome_92_Linux,SMALL
15,DATASET2,FACE_DETECT,0,0,135,0, 0, 0, 141,Chrome_92_Linux,SMALL
16,DATASET2,FACE_DETECT,2,0,135,0, 0, 0, 142,Chrome_92_Linux,SMALL
17,DATASET2,FACE_DETECT,1,0,139,0, 0, 0, 146,Chrome_92_Linux,SMALL
18,DATASET2,FACE_DETECT,0,0,131,0, 0, 0, 138,Chrome_92_Linux,SMALL
19,DATASET2,FACE_DETECT,2,0,140,0, 0, 0, 147,Chrome_92_Linux,SMALL
20,DATASET2,FACE_DETECT,0,0,134,0, 0, 0, 141,Chrome_92_Linux,SMALL
21,DATASET2,FACE_DETECT,2,0,131,0, 0, 0, 138,Chrome_92_Linux,SMALL
22,DATASET2,FACE_DETECT,0,0,134,0, 0, 0, 141,Chrome_92_Linux,SMALL
23,DATASET2,FACE_DETECT,3,0,132,0, 0, 0, 139,Chrome_92_Linux,SMALL
24,DATASET2,FACE_DETECT,0,0,136,0, 0, 0, 143,Chrome_92_Linux,SMALL
25,DATASET2,FACE_DETECT,2,0,132,0, 0, 0, 139,Chrome_92_Linux,SMALL
26,DATASET2,FACE_DETECT,0,0,135,0, 0, 0, 143,Chrome_92_Linux,SMALL
27,DATASET2,FACE_DETECT,1,0,138,0, 0, 0, 144,Chrome_92_Linux,SMALL
28,DATASET2,FACE_DETECT,1,0,138,0, 0, 0, 144,Chrome_92_Linux,SMALL
29,DATASET2,FACE_DETECT,1,0,129,0, 0, 0, 136,Chrome_92_Linux,SMALL
30,DATASET2,FACE_DETECT,2,0,132,0, 0, 0, 139,Chrome_92_Linux,SMALL
31,DATASET2,FACE_DETECT,0,0,153,0, 0, 0, 160,Chrome_92_Linux,SMALL
32,DATASET2,FACE_DETECT,0,0,137,0, 0, 0, 145,Chrome_92_Linux,SMALL
33,DATASET2,FACE_DETECT,0,0,145,0, 0, 0, 151,Chrome_92_Linux,SMALL
34,DATASET2,FACE_DETECT,0,0,139,0, 0, 0, 145,Chrome_92_Linux,SMALL
35,DATASET2,FACE_DETECT,1,0,138,0, 0, 0, 145,Chrome_92_Linux,SMALL
36,DATASET2,FACE_DETECT,0,0,139,0, 0, 0, 145,Chrome_92_Linux,SMALL
37,DATASET2,FACE_DETECT,1,0,138,0, 0, 0, 144,Chrome_92_Linux,SMALL
38,DATASET2,FACE_DETECT,0,0,156,0, 0, 0, 162,Chrome_92_Linux,SMALL
39,DATASET2,FACE_DETECT,0,0,140,0, 0, 0, 147,Chrome_92_Linux,SMALL
40,DATASET2,FACE_DETECT,0,0,140,0, 0, 0, 147,Chrome_92_Linux,SMALL
41,DATASET2,FACE_DETECT,0,0,149,0, 0, 0, 155,Chrome_92_Linux,SMALL
