id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET2,FACE_DETECT,0,0,123,1, 0, 0, 125,LINUX,SMALL
1,DATASET2,FACE_DETECT,0,0,31,0, 0, 0, 32,LINUX,SMALL
2,DATASET2,FACE_DETECT,0,0,36,0, 0, 0, 36,LINUX,SMALL
3,DATASET2,FACE_DETECT,0,0,37,0, 0, 0, 37,LINUX,SMALL
4,DATASET2,FACE_DETECT,1,0,37,0, 0, 0, 38,LINUX,SMALL
5,DATASET2,FACE_DETECT,2,0,35,0, 0, 0, 36,LINUX,SMALL
6,DATASET2,FACE_DETECT,0,0,42,0, 0, 0, 42,LINUX,SMALL
7,DATASET2,FACE_DETECT,1,0,41,0, 0, 0, 42,LINUX,SMALL
8,DATASET2,FACE_DETECT,0,0,42,0, 0, 0, 43,LINUX,SMALL
9,DATASET2,FACE_DETECT,0,0,43,0, 0, 0, 43,LINUX,SMALL
10,DATASET2,FACE_DETECT,0,0,43,0, 0, 0, 43,LINUX,SMALL
11,DATASET2,FACE_DETECT,0,0,41,0, 0, 0, 41,LINUX,SMALL
12,DATASET2,FACE_DETECT,0,0,43,0, 0, 0, 43,LINUX,SMALL
13,DATASET2,FACE_DETECT,1,0,42,0, 0, 0, 43,LINUX,SMALL
14,DATASET2,FACE_DETECT,0,0,44,0, 0, 0, 44,LINUX,SMALL
15,DATASET2,FACE_DETECT,1,0,44,0, 0, 0, 45,LINUX,SMALL
16,DATASET2,FACE_DETECT,1,0,45,0, 0, 0, 46,LINUX,SMALL
17,DATASET2,FACE_DETECT,1,0,46,0, 0, 0, 47,LINUX,SMALL
18,DATASET2,FACE_DETECT,2,0,47,0, 0, 0, 47,LINUX,SMALL
19,DATASET2,FACE_DETECT,2,0,43,0, 0, 0, 44,LINUX,SMALL
20,DATASET2,FACE_DETECT,2,0,46,0, 0, 0, 47,LINUX,SMALL
21,DATASET2,FACE_DETECT,2,0,42,0, 0, 0, 42,LINUX,SMALL
22,DATASET2,FACE_DETECT,0,0,43,0, 0, 0, 44,LINUX,SMALL
23,DATASET2,FACE_DETECT,0,0,46,0, 0, 0, 46,LINUX,SMALL
