id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET3,FACE_DETECT,0,0,519,4, 0, 0, 553,Chrome_92_Linux,LARGE
1,DATASET3,FACE_DETECT,2,0,471,4, 0, 0, 502,Chrome_92_Linux,LARGE
2,DATASET3,FACE_DETECT,3,0,482,3, 0, 0, 509,Chrome_92_Linux,LARGE
3,DATASET3,FACE_DETECT,1,0,476,3, 0, 0, 502,Chrome_92_Linux,LARGE
4,DATASET3,FACE_DETECT,1,0,481,2, 0, 0, 509,Chrome_92_Linux,LARGE
5,DATASET3,FACE_DETECT,2,0,477,3, 0, 0, 506,Chrome_92_Linux,LARGE
6,DATASET3,FACE_DETECT,2,0,476,3, 0, 0, 503,Chrome_92_Linux,LARGE
7,DATASET3,FACE_DETECT,2,0,481,2, 0, 0, 507,Chrome_92_Linux,LARGE
8,DATASET3,FACE_DETECT,1,0,477,3, 0, 0, 504,Chrome_92_Linux,LARGE
9,DATASET3,FACE_DETECT,2,0,476,3, 0, 0, 502,Chrome_92_Linux,LARGE
10,DATASET3,FACE_DETECT,3,0,480,2, 0, 0, 506,Chrome_92_Linux,LARGE
11,DATASET3,FACE_DETECT,1,0,483,3, 0, 0, 510,Chrome_92_Linux,LARGE
12,DATASET3,FACE_DETECT,2,0,487,3, 0, 0, 513,Chrome_92_Linux,LARGE
13,DATASET3,FACE_DETECT,2,0,482,2, 0, 0, 508,Chrome_92_Linux,LARGE
14,DATASET3,FACE_DETECT,0,0,342,3, 0, 0, 368,Chrome_92_Linux,LARGE
15,DATASET3,FACE_DETECT,3,0,483,3, 0, 0, 513,Chrome_92_Linux,LARGE
16,DATASET3,FACE_DETECT,1,0,492,3, 0, 0, 523,Chrome_92_Linux,LARGE
17,DATASET3,FACE_DETECT,0,0,371,3, 0, 0, 397,Chrome_92_Linux,LARGE
18,DATASET3,FACE_DETECT,1,0,482,3, 0, 0, 509,Chrome_92_Linux,LARGE
19,DATASET3,FACE_DETECT,0,0,412,3, 0, 0, 436,Chrome_92_Linux,LARGE
20,DATASET3,FACE_DETECT,1,0,484,2, 0, 0, 509,Chrome_92_Linux,LARGE
21,DATASET3,FACE_DETECT,1,0,380,3, 0, 0, 406,Chrome_92_Linux,LARGE
22,DATASET3,FACE_DETECT,1,0,384,3, 0, 0, 408,Chrome_92_Linux,LARGE
23,DATASET3,FACE_DETECT,1,0,392,2, 0, 0, 417,Chrome_92_Linux,LARGE
24,DATASET3,FACE_DETECT,1,0,393,3, 0, 0, 419,Chrome_92_Linux,LARGE
25,DATASET3,FACE_DETECT,1,0,377,3, 0, 0, 402,Chrome_92_Linux,LARGE
26,DATASET3,FACE_DETECT,0,0,1028,2, 0, 0, 1059,Chrome_92_Linux,LARGE
27,DATASET3,FACE_DETECT,0,0,979,3, 0, 0, 1018,Chrome_92_Linux,LARGE
28,DATASET3,FACE_DETECT,2,0,476,3, 0, 0, 504,Chrome_92_Linux,LARGE
29,DATASET3,FACE_DETECT,1,0,467,3, 0, 0, 493,Chrome_92_Linux,LARGE
30,DATASET3,FACE_DETECT,2,0,470,2, 0, 0, 498,Chrome_92_Linux,LARGE
31,DATASET3,FACE_DETECT,2,0,469,2, 0, 0, 497,Chrome_92_Linux,LARGE
32,DATASET3,FACE_DETECT,1,0,471,2, 0, 0, 497,Chrome_92_Linux,LARGE
33,DATASET3,FACE_DETECT,0,0,474,2, 0, 0, 500,Chrome_92_Linux,LARGE
34,DATASET3,FACE_DETECT,0,0,478,3, 0, 0, 505,Chrome_92_Linux,LARGE
35,DATASET3,FACE_DETECT,1,0,475,3, 0, 0, 501,Chrome_92_Linux,LARGE
36,DATASET3,FACE_DETECT,2,0,697,2, 0, 0, 725,Chrome_92_Linux,LARGE
37,DATASET3,FACE_DETECT,1,0,672,2, 0, 0, 702,Chrome_92_Linux,LARGE
38,DATASET3,FACE_DETECT,2,0,468,3, 0, 0, 499,Chrome_92_Linux,LARGE
39,DATASET3,FACE_DETECT,0,0,336,2, 0, 0, 360,Chrome_92_Linux,LARGE
40,DATASET3,FACE_DETECT,0,0,390,3, 0, 0, 417,Chrome_92_Linux,LARGE
41,DATASET3,FACE_DETECT,1,0,725,2, 0, 0, 753,Chrome_92_Linux,LARGE
42,DATASET3,FACE_DETECT,1,0,687,2, 0, 0, 714,Chrome_92_Linux,LARGE
43,DATASET3,FACE_DETECT,1,0,701,2, 0, 0, 730,Chrome_92_Linux,LARGE
44,DATASET3,FACE_DETECT,1,0,479,2, 0, 0, 506,Chrome_92_Linux,LARGE
45,DATASET3,FACE_DETECT,3,0,715,2, 0, 0, 743,Chrome_92_Linux,LARGE
46,DATASET3,FACE_DETECT,2,0,727,2, 0, 0, 757,Chrome_92_Linux,LARGE
47,DATASET3,FACE_DETECT,1,0,362,2, 0, 0, 389,Chrome_92_Linux,LARGE
48,DATASET3,FACE_DETECT,4,0,706,2, 0, 0, 735,Chrome_92_Linux,LARGE
49,DATASET3,FACE_DETECT,0,0,350,3, 0, 0, 380,Chrome_92_Linux,LARGE
50,DATASET3,FACE_DETECT,0,0,502,3, 0, 0, 531,Chrome_92_Linux,LARGE
51,DATASET3,FACE_DETECT,3,0,692,2, 0, 0, 720,Chrome_92_Linux,LARGE
52,DATASET3,FACE_DETECT,0,0,505,2, 0, 0, 531,Chrome_92_Linux,LARGE
53,DATASET3,FACE_DETECT,2,0,751,2, 0, 0, 781,Chrome_92_Linux,LARGE
54,DATASET3,FACE_DETECT,3,0,747,2, 0, 0, 775,Chrome_92_Linux,LARGE
55,DATASET3,FACE_DETECT,2,0,508,3, 0, 0, 534,Chrome_92_Linux,LARGE
56,DATASET3,FACE_DETECT,1,0,419,3, 0, 0, 446,Chrome_92_Linux,LARGE
57,DATASET3,FACE_DETECT,1,0,761,2, 0, 0, 790,Chrome_92_Linux,LARGE
58,DATASET3,FACE_DETECT,2,0,765,2, 0, 0, 793,Chrome_92_Linux,LARGE
59,DATASET3,FACE_DETECT,1,0,424,3, 0, 0, 457,Chrome_92_Linux,LARGE
60,DATASET3,FACE_DETECT,0,0,513,3, 0, 0, 541,Chrome_92_Linux,LARGE
61,DATASET3,FACE_DETECT,0,0,376,3, 0, 0, 402,Chrome_92_Linux,LARGE
62,DATASET3,FACE_DETECT,0,0,505,3, 0, 0, 536,Chrome_92_Linux,LARGE
63,DATASET3,FACE_DETECT,0,0,384,2, 0, 0, 416,Chrome_92_Linux,LARGE
64,DATASET3,FACE_DETECT,1,0,376,3, 0, 0, 406,Chrome_92_Linux,LARGE
65,DATASET3,FACE_DETECT,1,0,510,3, 0, 0, 541,Chrome_92_Linux,LARGE
66,DATASET3,FACE_DETECT,0,0,377,3, 0, 0, 409,Chrome_92_Linux,LARGE
67,DATASET3,FACE_DETECT,0,0,442,2, 0, 0, 472,Chrome_92_Linux,LARGE
68,DATASET3,FACE_DETECT,0,0,440,2, 0, 0, 483,Chrome_92_Linux,LARGE
69,DATASET3,FACE_DETECT,2,0,432,2, 0, 0, 481,Chrome_92_Linux,LARGE
