id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET3,FACE_DETECT,0,0,868,5, 0, 0, 879,Firefox_91_UNIX,LARGE
1,DATASET3,FACE_DETECT,0,0,802,5, 0, 0, 812,Firefox_91_UNIX,LARGE
2,DATASET3,FACE_DETECT,0,0,802,4, 0, 0, 811,Firefox_91_UNIX,LARGE
3,DATASET3,FACE_DETECT,0,0,802,3, 0, 0, 810,Firefox_91_UNIX,LARGE
4,DATASET3,FACE_DETECT,0,0,802,3, 0, 0, 809,Firefox_91_UNIX,LARGE
5,DATASET3,FACE_DETECT,0,0,804,3, 0, 0, 812,Firefox_91_UNIX,LARGE
6,DATASET3,FACE_DETECT,0,0,804,3, 0, 0, 811,Firefox_91_UNIX,LARGE
7,DATASET3,FACE_DETECT,1,0,522,3, 0, 0, 530,Firefox_91_UNIX,LARGE
8,DATASET3,FACE_DETECT,0,0,382,3, 0, 0, 390,Firefox_91_UNIX,LARGE
9,DATASET3,FACE_DETECT,1,0,431,5, 0, 0, 442,Firefox_91_UNIX,LARGE
10,DATASET3,FACE_DETECT,1,0,391,3, 1, 0, 404,Firefox_91_UNIX,LARGE
11,DATASET3,FACE_DETECT,2,0,398,4, 0, 0, 406,Firefox_91_UNIX,LARGE
12,DATASET3,FACE_DETECT,2,0,400,3, 0, 0, 408,Firefox_91_UNIX,LARGE
13,DATASET3,FACE_DETECT,1,0,404,4, 0, 0, 413,Firefox_91_UNIX,LARGE
14,DATASET3,FACE_DETECT,1,0,387,4, 0, 0, 396,Firefox_91_UNIX,LARGE
15,DATASET3,FACE_DETECT,1,0,357,3, 0, 0, 365,Firefox_91_UNIX,LARGE
16,DATASET3,FACE_DETECT,3,0,489,4, 0, 0, 497,Firefox_91_UNIX,LARGE
17,DATASET3,FACE_DETECT,0,0,872,3, 0, 0, 880,Firefox_91_UNIX,LARGE
18,DATASET3,FACE_DETECT,0,0,873,2, 0, 0, 880,Firefox_91_UNIX,LARGE
19,DATASET3,FACE_DETECT,0,0,868,3, 0, 0, 876,Firefox_91_UNIX,LARGE
20,DATASET3,FACE_DETECT,3,0,555,3, 0, 0, 563,Firefox_91_UNIX,LARGE
21,DATASET3,FACE_DETECT,2,0,539,4, 0, 0, 548,Firefox_91_UNIX,LARGE
22,DATASET3,FACE_DETECT,3,0,541,4, 0, 0, 549,Firefox_91_UNIX,LARGE
23,DATASET3,FACE_DETECT,2,0,540,4, 0, 0, 548,Firefox_91_UNIX,LARGE
24,DATASET3,FACE_DETECT,2,0,541,3, 0, 0, 548,Firefox_91_UNIX,LARGE
25,DATASET3,FACE_DETECT,2,0,544,3, 0, 0, 552,Firefox_91_UNIX,LARGE
26,DATASET3,FACE_DETECT,3,0,538,3, 0, 0, 546,Firefox_91_UNIX,LARGE
27,DATASET3,FACE_DETECT,2,0,536,4, 1, 0, 546,Firefox_91_UNIX,LARGE
28,DATASET3,FACE_DETECT,3,0,550,4, 1, 0, 558,Firefox_91_UNIX,LARGE
29,DATASET3,FACE_DETECT,3,0,541,3, 0, 0, 548,Firefox_91_UNIX,LARGE
30,DATASET3,FACE_DETECT,1,0,548,3, 0, 0, 556,Firefox_91_UNIX,LARGE
31,DATASET3,FACE_DETECT,1,0,550,4, 0, 0, 558,Firefox_91_UNIX,LARGE
32,DATASET3,FACE_DETECT,2,0,546,4, 0, 0, 555,Firefox_91_UNIX,LARGE
33,DATASET3,FACE_DETECT,3,0,502,4, 0, 0, 513,Firefox_91_UNIX,LARGE
34,DATASET3,FACE_DETECT,3,0,503,3, 0, 0, 511,Firefox_91_UNIX,LARGE
35,DATASET3,FACE_DETECT,3,0,500,4, 0, 0, 508,Firefox_91_UNIX,LARGE
36,DATASET3,FACE_DETECT,3,0,501,4, 0, 0, 510,Firefox_91_UNIX,LARGE
37,DATASET3,FACE_DETECT,3,0,495,4, 1, 0, 504,Firefox_91_UNIX,LARGE
38,DATASET3,FACE_DETECT,3,0,494,4, 1, 0, 503,Firefox_91_UNIX,LARGE
39,DATASET3,FACE_DETECT,2,0,497,3, 0, 0, 504,Firefox_91_UNIX,LARGE
40,DATASET3,FACE_DETECT,2,0,497,4, 0, 0, 505,Firefox_91_UNIX,LARGE
41,DATASET3,FACE_DETECT,2,0,503,3, 0, 0, 511,Firefox_91_UNIX,LARGE
42,DATASET3,FACE_DETECT,2,0,504,4, 0, 0, 512,Firefox_91_UNIX,LARGE
43,DATASET3,FACE_DETECT,3,0,503,3, 0, 0, 511,Firefox_91_UNIX,LARGE
44,DATASET3,FACE_DETECT,0,0,376,3, 0, 0, 384,Firefox_91_UNIX,LARGE
45,DATASET3,FACE_DETECT,0,0,350,4, 0, 0, 359,Firefox_91_UNIX,LARGE
46,DATASET3,FACE_DETECT,0,0,405,4, 0, 0, 413,Firefox_91_UNIX,LARGE
