id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET3,FACE_DETECT,0,0,307,2, 0, 2, 312,LINUX,LARGE
1,DATASET3,FACE_DETECT,0,0,137,2, 0, 1, 141,LINUX,LARGE
2,DATASET3,FACE_DETECT,0,0,274,2, 0, 1, 277,LINUX,LARGE
3,DATASET3,FACE_DETECT,2,0,138,2, 0, 1, 142,LINUX,LARGE
4,DATASET3,FACE_DETECT,3,0,142,2, 0, 1, 146,LINUX,LARGE
5,DATASET3,FACE_DETECT,2,0,141,2, 0, 1, 145,LINUX,LARGE
6,DATASET3,FACE_DETECT,2,0,143,2, 0, 1, 147,LINUX,LARGE
7,DATASET3,FACE_DETECT,2,0,140,2, 0, 1, 144,LINUX,LARGE
8,DATASET3,FACE_DETECT,2,0,147,2, 0, 1, 151,LINUX,LARGE
9,DATASET3,FACE_DETECT,2,0,145,2, 0, 1, 149,LINUX,LARGE
10,DATASET3,FACE_DETECT,3,0,141,2, 0, 1, 145,LINUX,LARGE
11,DATASET3,FACE_DETECT,3,0,144,2, 0, 1, 148,LINUX,LARGE
12,DATASET3,FACE_DETECT,2,0,150,2, 0, 1, 154,LINUX,LARGE
13,DATASET3,FACE_DETECT,2,0,143,2, 0, 1, 147,LINUX,LARGE
14,DATASET3,FACE_DETECT,1,0,143,2, 0, 1, 146,LINUX,LARGE
15,DATASET3,FACE_DETECT,1,0,149,2, 0, 1, 153,LINUX,LARGE
16,DATASET3,FACE_DETECT,1,0,152,2, 0, 1, 156,LINUX,LARGE
17,DATASET3,FACE_DETECT,2,0,149,2, 0, 1, 153,LINUX,LARGE
18,DATASET3,FACE_DETECT,1,0,141,2, 0, 1, 145,LINUX,LARGE
19,DATASET3,FACE_DETECT,0,0,146,2, 0, 1, 149,LINUX,LARGE
20,DATASET3,FACE_DETECT,0,0,313,2, 0, 1, 316,LINUX,LARGE
21,DATASET3,FACE_DETECT,2,0,213,2, 0, 1, 217,LINUX,LARGE
22,DATASET3,FACE_DETECT,2,0,211,2, 0, 1, 215,LINUX,LARGE
23,DATASET3,FACE_DETECT,2,0,207,2, 0, 1, 211,LINUX,LARGE
