id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
0,DATASET3,FACE_DETECT,0,0,98,0, 0, 0, 100,Firefox_91_UNIX,SMALL
1,DATASET3,FACE_DETECT,1,0,115,1, 0, 0, 117,Firefox_91_UNIX,SMALL
2,DATASET3,FACE_DETECT,2,0,115,1, 0, 0, 117,Firefox_91_UNIX,SMALL
3,DATASET3,FACE_DETECT,0,0,112,0, 0, 0, 113,Firefox_91_UNIX,SMALL
4,DATASET3,FACE_DETECT,0,0,110,1, 0, 0, 112,Firefox_91_UNIX,SMALL
5,DATASET3,FACE_DETECT,1,0,105,0, 0, 0, 106,Firefox_91_UNIX,SMALL
6,DATASET3,FACE_DETECT,0,0,94,0, 0, 0, 95,Firefox_91_UNIX,SMALL
7,DATASET3,FACE_DETECT,0,0,99,0, 0, 0, 100,Firefox_91_UNIX,SMALL
8,DATASET3,FACE_DETECT,0,0,92,0, 0, 0, 93,Firefox_91_UNIX,SMALL
9,DATASET3,FACE_DETECT,1,0,92,1, 0, 0, 93,Firefox_91_UNIX,SMALL
10,DATASET3,FACE_DETECT,1,0,94,0, 0, 0, 95,Firefox_91_UNIX,SMALL
11,DATASET3,FACE_DETECT,0,0,93,0, 0, 0, 94,Firefox_91_UNIX,SMALL
12,DATASET3,FACE_DETECT,0,0,93,0, 0, 0, 94,Firefox_91_UNIX,SMALL
13,DATASET3,FACE_DETECT,0,0,91,1, 0, 0, 92,Firefox_91_UNIX,SMALL
14,DATASET3,FACE_DETECT,1,0,111,0, 1, 0, 113,Firefox_91_UNIX,SMALL
15,DATASET3,FACE_DETECT,0,0,93,1, 0, 0, 94,Firefox_91_UNIX,SMALL
16,DATASET3,FACE_DETECT,0,0,80,0, 0, 0, 83,Firefox_91_UNIX,SMALL
17,DATASET3,FACE_DETECT,1,0,93,0, 0, 0, 96,Firefox_91_UNIX,SMALL
18,DATASET3,FACE_DETECT,0,0,80,1, 0, 0, 84,Firefox_91_UNIX,SMALL
19,DATASET3,FACE_DETECT,0,0,86,0, 0, 0, 90,Firefox_91_UNIX,SMALL
20,DATASET3,FACE_DETECT,0,0,87,0, 0, 0, 90,Firefox_91_UNIX,SMALL
21,DATASET3,FACE_DETECT,0,0,85,1, 0, 0, 88,Firefox_91_UNIX,SMALL
22,DATASET3,FACE_DETECT,0,0,86,0, 0, 0, 89,Firefox_91_UNIX,SMALL
23,DATASET3,FACE_DETECT,1,0,106,0, 0, 0, 109,Firefox_91_UNIX,SMALL
24,DATASET3,FACE_DETECT,1,0,104,1, 0, 0, 108,Firefox_91_UNIX,SMALL
25,DATASET3,FACE_DETECT,0,0,103,0, 0, 0, 106,Firefox_91_UNIX,SMALL
26,DATASET3,FACE_DETECT,0,0,104,1, 0, 0, 107,Firefox_91_UNIX,SMALL
27,DATASET3,FACE_DETECT,0,0,87,0, 0, 0, 89,Firefox_91_UNIX,SMALL
28,DATASET3,FACE_DETECT,0,0,86,0, 0, 0, 89,Firefox_91_UNIX,SMALL
29,DATASET3,FACE_DETECT,0,0,87,1, 0, 0, 90,Firefox_91_UNIX,SMALL
30,DATASET3,FACE_DETECT,0,0,86,1, 0, 0, 89,Firefox_91_UNIX,SMALL
31,DATASET3,FACE_DETECT,0,0,87,1, 0, 0, 93,Firefox_91_UNIX,SMALL
32,DATASET3,FACE_DETECT,0,0,86,0, 0, 0, 88,Firefox_91_UNIX,SMALL
33,DATASET3,FACE_DETECT,0,0,85,0, 0, 0, 88,Firefox_91_UNIX,SMALL
34,DATASET3,FACE_DETECT,0,0,87,0, 0, 0, 90,Firefox_91_UNIX,SMALL
35,DATASET3,FACE_DETECT,0,0,87,0, 0, 0, 89,Firefox_91_UNIX,SMALL
36,DATASET3,FACE_DETECT,1,0,107,0, 0, 0, 109,Firefox_91_UNIX,SMALL
37,DATASET3,FACE_DETECT,0,0,106,0, 0, 0, 109,Firefox_91_UNIX,SMALL
38,DATASET3,FACE_DETECT,1,0,105,1, 0, 0, 108,Firefox_91_UNIX,SMALL
39,DATASET3,FACE_DETECT,0,0,109,1, 0, 0, 112,Firefox_91_UNIX,SMALL
40,DATASET3,FACE_DETECT,0,0,115,1, 0, 0, 119,Firefox_91_UNIX,SMALL
41,DATASET3,FACE_DETECT,0,0,106,1, 0, 0, 109,Firefox_91_UNIX,SMALL
42,DATASET3,FACE_DETECT,1,0,118,0, 0, 0, 121,Firefox_91_UNIX,SMALL
43,DATASET3,FACE_DETECT,0,0,118,0, 0, 0, 120,Firefox_91_UNIX,SMALL
44,DATASET3,FACE_DETECT,1,0,118,0, 0, 0, 120,Firefox_91_UNIX,SMALL
45,DATASET3,FACE_DETECT,0,0,116,1, 0, 0, 119,Firefox_91_UNIX,SMALL
46,DATASET3,FACE_DETECT,0,0,105,1, 0, 0, 109,Firefox_91_UNIX,SMALL
47,DATASET3,FACE_DETECT,0,0,115,1, 0, 0, 119,Firefox_91_UNIX,SMALL
48,DATASET3,FACE_DETECT,1,0,118,0, 0, 0, 122,Firefox_91_UNIX,SMALL
49,DATASET3,FACE_DETECT,0,0,103,0, 0, 0, 106,Firefox_91_UNIX,SMALL
50,DATASET3,FACE_DETECT,0,0,115,1, 0, 0, 119,Firefox_91_UNIX,SMALL
51,DATASET3,FACE_DETECT,0,0,105,0, 0, 0, 108,Firefox_91_UNIX,SMALL
52,DATASET3,FACE_DETECT,2,0,114,0, 0, 0, 118,Firefox_91_UNIX,SMALL
53,DATASET3,FACE_DETECT,0,0,104,0, 0, 0, 107,Firefox_91_UNIX,SMALL
54,DATASET3,FACE_DETECT,0,0,117,1, 0, 0, 121,Firefox_91_UNIX,SMALL
55,DATASET3,FACE_DETECT,0,0,105,1, 0, 0, 109,Firefox_91_UNIX,SMALL
56,DATASET3,FACE_DETECT,0,0,115,0, 0, 0, 118,Firefox_91_UNIX,SMALL
57,DATASET3,FACE_DETECT,1,0,110,1, 0, 0, 113,Firefox_91_UNIX,SMALL
58,DATASET3,FACE_DETECT,0,0,115,0, 0, 0, 118,Firefox_91_UNIX,SMALL
59,DATASET3,FACE_DETECT,2,0,115,1, 0, 0, 118,Firefox_91_UNIX,SMALL
60,DATASET3,FACE_DETECT,1,0,114,0, 0, 0, 117,Firefox_91_UNIX,SMALL
61,DATASET3,FACE_DETECT,0,0,114,0, 0, 0, 118,Firefox_91_UNIX,SMALL
62,DATASET3,FACE_DETECT,0,0,114,1, 0, 0, 118,Firefox_91_UNIX,SMALL
63,DATASET3,FACE_DETECT,1,0,115,0, 0, 0, 118,Firefox_91_UNIX,SMALL
64,DATASET3,FACE_DETECT,1,0,114,1, 0, 0, 119,Firefox_91_UNIX,SMALL
65,DATASET3,FACE_DETECT,0,0,117,2, 0, 0, 120,Firefox_91_UNIX,SMALL
66,DATASET3,FACE_DETECT,0,0,115,0, 0, 0, 118,Firefox_91_UNIX,SMALL
67,DATASET3,FACE_DETECT,0,0,115,1, 0, 0, 119,Firefox_91_UNIX,SMALL
68,DATASET3,FACE_DETECT,0,0,117,0, 0, 0, 121,Firefox_91_UNIX,SMALL
69,DATASET3,FACE_DETECT,0,0,116,0, 0, 0, 119,Firefox_91_UNIX,SMALL
70,DATASET3,FACE_DETECT,1,0,116,0, 0, 0, 119,Firefox_91_UNIX,SMALL
71,DATASET3,FACE_DETECT,0,0,116,0, 0, 0, 119,Firefox_91_UNIX,SMALL
72,DATASET3,FACE_DETECT,0,0,87,1, 0, 0, 91,Firefox_91_UNIX,SMALL
73,DATASET3,FACE_DETECT,0,0,109,1, 0, 0, 113,Firefox_91_UNIX,SMALL
74,DATASET3,FACE_DETECT,0,0,113,1, 0, 0, 117,Firefox_91_UNIX,SMALL
75,DATASET3,FACE_DETECT,1,0,110,0, 0, 0, 113,Firefox_91_UNIX,SMALL
76,DATASET3,FACE_DETECT,0,0,109,0, 0, 0, 112,Firefox_91_UNIX,SMALL
77,DATASET3,FACE_DETECT,0,0,112,1, 0, 0, 116,Firefox_91_UNIX,SMALL
78,DATASET3,FACE_DETECT,0,0,115,1, 0, 0, 119,Firefox_91_UNIX,SMALL
79,DATASET3,FACE_DETECT,0,0,111,1, 0, 0, 115,Firefox_91_UNIX,SMALL
80,DATASET3,FACE_DETECT,1,0,113,0, 0, 0, 115,Firefox_91_UNIX,SMALL
81,DATASET3,FACE_DETECT,1,0,109,0, 0, 0, 112,Firefox_91_UNIX,SMALL
82,DATASET3,FACE_DETECT,1,0,107,0, 0, 0, 110,Firefox_91_UNIX,SMALL
83,DATASET3,FACE_DETECT,1,0,112,0, 0, 0, 115,Firefox_91_UNIX,SMALL
84,DATASET3,FACE_DETECT,1,0,106,1, 0, 0, 109,Firefox_91_UNIX,SMALL
85,DATASET3,FACE_DETECT,1,0,107,1, 0, 0, 110,Firefox_91_UNIX,SMALL
86,DATASET3,FACE_DETECT,1,0,109,1, 0, 0, 112,Firefox_91_UNIX,SMALL
87,DATASET3,FACE_DETECT,1,0,104,1, 0, 0, 108,Firefox_91_UNIX,SMALL
88,DATASET3,FACE_DETECT,1,0,107,0, 0, 0, 110,Firefox_91_UNIX,SMALL
89,DATASET3,FACE_DETECT,1,0,106,1, 0, 0, 109,Firefox_91_UNIX,SMALL
90,DATASET3,FACE_DETECT,0,0,114,1, 0, 0, 117,Firefox_91_UNIX,SMALL
91,DATASET3,FACE_DETECT,1,0,108,1, 0, 0, 111,Firefox_91_UNIX,SMALL
92,DATASET3,FACE_DETECT,1,0,109,1, 0, 0, 113,Firefox_91_UNIX,SMALL
93,DATASET3,FACE_DETECT,0,0,111,1, 0, 0, 115,Firefox_91_UNIX,SMALL
94,DATASET3,FACE_DETECT,0,0,112,1, 0, 0, 116,Firefox_91_UNIX,SMALL
95,DATASET3,FACE_DETECT,0,0,116,1, 0, 0, 119,Firefox_91_UNIX,SMALL
96,DATASET3,FACE_DETECT,2,0,111,1, 1, 0, 116,Firefox_91_UNIX,SMALL
97,DATASET3,FACE_DETECT,1,0,114,1, 0, 0, 117,Firefox_91_UNIX,SMALL
98,DATASET3,FACE_DETECT,1,0,104,0, 0, 0, 107,Firefox_91_UNIX,SMALL
99,DATASET3,FACE_DETECT,0,0,110,0, 0, 0, 113,Firefox_91_UNIX,SMALL
100,DATASET3,FACE_DETECT,1,0,112,0, 0, 0, 115,Firefox_91_UNIX,SMALL
101,DATASET3,FACE_DETECT,1,0,111,0, 0, 0, 114,Firefox_91_UNIX,SMALL
102,DATASET3,FACE_DETECT,1,0,112,0, 0, 0, 115,Firefox_91_UNIX,SMALL
103,DATASET3,FACE_DETECT,1,0,106,0, 0, 0, 109,Firefox_91_UNIX,SMALL
104,DATASET3,FACE_DETECT,0,0,106,1, 0, 0, 110,Firefox_91_UNIX,SMALL
105,DATASET3,FACE_DETECT,1,0,107,1, 0, 0, 111,Firefox_91_UNIX,SMALL
106,DATASET3,FACE_DETECT,1,0,110,1, 0, 0, 114,Firefox_91_UNIX,SMALL
107,DATASET3,FACE_DETECT,1,0,111,1, 0, 0, 115,Firefox_91_UNIX,SMALL
108,DATASET3,FACE_DETECT,1,0,111,1, 0, 0, 115,Firefox_91_UNIX,SMALL
109,DATASET3,FACE_DETECT,0,0,111,1, 0, 0, 115,Firefox_91_UNIX,SMALL
110,DATASET3,FACE_DETECT,0,0,113,0, 0, 0, 116,Firefox_91_UNIX,SMALL
111,DATASET3,FACE_DETECT,0,0,110,1, 0, 0, 114,Firefox_91_UNIX,SMALL
112,DATASET3,FACE_DETECT,0,0,112,0, 0, 0, 116,Firefox_91_UNIX,SMALL
113,DATASET3,FACE_DETECT,0,0,91,1, 0, 0, 95,Firefox_91_UNIX,SMALL
114,DATASET3,FACE_DETECT,0,0,107,0, 0, 0, 110,Firefox_91_UNIX,SMALL
115,DATASET3,FACE_DETECT,0,0,107,0, 0, 0, 110,Firefox_91_UNIX,SMALL
116,DATASET3,FACE_DETECT,0,0,137,1, 0, 0, 143,Firefox_91_UNIX,SMALL
